TIME,X2,Y2,Z2
"('2022-03-29 18:18:11',)","(-41,)","(31,)","(-203,)"
"('2022-03-29 18:18:11',)","(-39,)","(30,)","(-203,)"
"('2022-03-29 18:18:10',)","(-40,)","(30,)","(-201,)"
"('2022-03-29 18:18:10',)","(-39,)","(30,)","(-199,)"
"('2022-03-29 18:18:10',)","(-40,)","(30,)","(-200,)"
"('2022-03-29 18:18:10',)","(-41,)","(31,)","(-203,)"
"('2022-03-29 18:18:10',)","(-41,)","(30,)","(-204,)"
"('2022-03-29 18:18:10',)","(-40,)","(30,)","(-203,)"
"('2022-03-29 18:18:10',)","(-41,)","(30,)","(-202,)"
"('2022-03-29 18:18:10',)","(-39,)","(30,)","(-202,)"
"('2022-03-29 18:18:10',)","(-41,)","(31,)","(-205,)"
"('2022-03-29 18:18:09',)","(-41,)","(31,)","(-201,)"
"('2022-03-29 18:18:09',)","(-40,)","(30,)","(-202,)"
"('2022-03-29 18:18:09',)","(-38,)","(30,)","(-202,)"
"('2022-03-29 18:18:09',)","(-41,)","(30,)","(-203,)"
"('2022-03-29 18:18:09',)","(-40,)","(30,)","(-199,)"
"('2022-03-29 18:18:09',)","(-44,)","(31,)","(-202,)"
"('2022-03-29 18:18:09',)","(-41,)","(30,)","(-203,)"
"('2022-03-29 18:18:09',)","(-43,)","(32,)","(-206,)"
"('2022-03-29 18:18:09',)","(-44,)","(31,)","(-204,)"
"('2022-03-29 18:18:07',)","(-42,)","(31,)","(-205,)"
"('2022-03-29 18:18:07',)","(-41,)","(31,)","(-206,)"
"('2022-03-29 18:18:07',)","(-40,)","(31,)","(-204,)"
"('2022-03-29 18:18:07',)","(-40,)","(30,)","(-199,)"
"('2022-03-29 18:18:07',)","(-40,)","(30,)","(-198,)"
"('2022-03-29 18:18:07',)","(-40,)","(31,)","(-200,)"
"('2022-03-29 18:18:06',)","(-39,)","(31,)","(-205,)"
"('2022-03-29 18:18:06',)","(-41,)","(30,)","(-200,)"
"('2022-03-29 18:18:05',)","(-40,)","(31,)","(-200,)"
"('2022-03-29 18:18:05',)","(-40,)","(30,)","(-201,)"
"('2022-03-29 18:18:05',)","(-38,)","(31,)","(-202,)"
"('2022-03-29 18:18:05',)","(-40,)","(32,)","(-204,)"
"('2022-03-29 18:18:04',)","(-38,)","(32,)","(-199,)"
"('2022-03-29 18:18:01',)","(-39,)","(32,)","(-203,)"
"('2022-03-29 18:18:00',)","(-39,)","(32,)","(-200,)"
"('2022-03-29 18:18:00',)","(-39,)","(31,)","(-200,)"
"('2022-03-29 18:18:00',)","(-41,)","(32,)","(-199,)"
"('2022-03-29 18:18:00',)","(-41,)","(31,)","(-202,)"
"('2022-03-29 18:18:00',)","(-42,)","(32,)","(-204,)"
"('2022-03-29 18:18:00',)","(-39,)","(32,)","(-204,)"
"('2022-03-29 18:18:00',)","(-39,)","(32,)","(-204,)"
"('2022-03-29 18:18:00',)","(-38,)","(31,)","(-200,)"
"('2022-03-29 18:18:00',)","(-40,)","(29,)","(-201,)"
"('2022-03-29 18:18:00',)","(-41,)","(30,)","(-202,)"
"('2022-03-29 18:17:59',)","(-39,)","(31,)","(-199,)"
"('2022-03-29 18:17:59',)","(-38,)","(33,)","(-198,)"
"('2022-03-29 18:17:59',)","(-39,)","(32,)","(-202,)"
"('2022-03-29 18:17:59',)","(-37,)","(32,)","(-204,)"
"('2022-03-29 18:17:59',)","(-39,)","(31,)","(-205,)"
"('2022-03-29 18:17:59',)","(-41,)","(32,)","(-203,)"
"('2022-03-29 18:17:59',)","(-40,)","(31,)","(-200,)"
"('2022-03-29 18:17:59',)","(-40,)","(32,)","(-201,)"
"('2022-03-29 18:17:59',)","(-41,)","(32,)","(-203,)"
"('2022-03-29 18:17:59',)","(-40,)","(32,)","(-205,)"
"('2022-03-29 18:17:58',)","(-40,)","(31,)","(-202,)"
"('2022-03-29 18:17:58',)","(-41,)","(33,)","(-205,)"
"('2022-03-29 18:17:58',)","(-41,)","(33,)","(-203,)"
"('2022-03-29 18:17:58',)","(-39,)","(32,)","(-200,)"
"('2022-03-29 18:17:58',)","(-38,)","(30,)","(-199,)"
"('2022-03-29 18:17:58',)","(-39,)","(31,)","(-201,)"
"('2022-03-29 18:17:58',)","(-38,)","(32,)","(-205,)"
"('2022-03-29 18:17:58',)","(-39,)","(33,)","(-206,)"
"('2022-03-29 18:17:58',)","(-39,)","(32,)","(-204,)"
"('2022-03-29 18:17:57',)","(-39,)","(34,)","(-202,)"
"('2022-03-29 18:17:57',)","(-39,)","(34,)","(-204,)"
"('2022-03-29 18:17:57',)","(-40,)","(32,)","(-199,)"
"('2022-03-29 18:17:57',)","(-40,)","(31,)","(-199,)"
"('2022-03-29 18:17:57',)","(-41,)","(33,)","(-200,)"
"('2022-03-29 18:17:57',)","(-41,)","(36,)","(-202,)"
"('2022-03-29 18:17:57',)","(-40,)","(35,)","(-204,)"
"('2022-03-29 18:17:57',)","(-39,)","(34,)","(-203,)"
"('2022-03-29 18:17:57',)","(-39,)","(32,)","(-200,)"
"('2022-03-29 18:17:57',)","(-39,)","(31,)","(-199,)"
"('2022-03-29 18:17:56',)","(-38,)","(33,)","(-204,)"
"('2022-03-29 18:17:56',)","(-40,)","(33,)","(-200,)"
"('2022-03-29 18:17:56',)","(-40,)","(34,)","(-201,)"
"('2022-03-29 18:17:56',)","(-38,)","(35,)","(-202,)"
"('2022-03-29 18:17:54',)","(-39,)","(35,)","(-203,)"
"('2022-03-29 18:17:54',)","(-38,)","(33,)","(-206,)"
"('2022-03-29 18:17:54',)","(-39,)","(33,)","(-203,)"
"('2022-03-29 18:17:54',)","(-37,)","(31,)","(-198,)"
"('2022-03-29 18:17:54',)","(-40,)","(35,)","(-198,)"
"('2022-03-29 18:17:54',)","(-42,)","(37,)","(-201,)"
"('2022-03-29 18:17:54',)","(-42,)","(36,)","(-205,)"
"('2022-03-29 18:17:54',)","(-40,)","(35,)","(-206,)"
"('2022-03-29 18:17:52',)","(-40,)","(34,)","(-205,)"
"('2022-03-29 18:17:52',)","(-38,)","(35,)","(-205,)"
"('2022-03-29 18:17:52',)","(-37,)","(34,)","(-203,)"
"('2022-03-29 18:17:52',)","(-35,)","(33,)","(-200,)"
"('2022-03-29 18:17:52',)","(-40,)","(33,)","(-198,)"
"('2022-03-29 18:17:52',)","(-42,)","(34,)","(-201,)"
"('2022-03-29 18:17:52',)","(-44,)","(34,)","(-204,)"
"('2022-03-29 18:17:52',)","(-42,)","(35,)","(-203,)"
"('2022-03-29 18:17:52',)","(-39,)","(35,)","(-201,)"
"('2022-03-29 18:17:52',)","(-38,)","(32,)","(-200,)"
"('2022-03-29 18:17:52',)","(-36,)","(31,)","(-199,)"
"('2022-03-29 18:17:51',)","(-41,)","(33,)","(-205,)"
"('2022-03-29 18:17:51',)","(-42,)","(34,)","(-201,)"
