timestamp,x,y,z
24/02/2022 14:04,97,-58,-217
24/02/2022 14:04,95,-59,-219
24/02/2022 14:04,96,-58,-219
24/02/2022 14:04,97,-55,-219
24/02/2022 14:04,76,-341,-334
24/02/2022 14:04,-445,-512,-368
24/02/2022 14:04,-99,275,-512
24/02/2022 14:04,104,-15,53
24/02/2022 14:04,403,-512,-512
24/02/2022 14:04,135,432,-450
24/02/2022 14:04,-512,-306,-228
24/02/2022 14:04,-130,-305,-157
24/02/2022 14:04,52,-283,-43
24/02/2022 14:04,-233,-98,-112
24/02/2022 14:04,511,-423,-123
24/02/2022 14:05,72,-159,3
24/02/2022 14:05,-81,-251,-338
24/02/2022 14:05,134,-32,-250
24/02/2022 14:05,68,-41,-231
24/02/2022 15:33,0,0,0
24/02/2022 15:34,33,-48,-233
24/02/2022 15:34,33,-49,-233
24/02/2022 15:34,33,-48,-234
24/02/2022 15:34,34,-48,-234
24/02/2022 15:34,32,-48,-232
24/02/2022 15:34,34,-48,-232
24/02/2022 15:34,33,-48,-233
24/02/2022 15:34,32,-49,-233
24/02/2022 15:34,35,-47,-234
24/02/2022 15:34,33,-47,-233
24/02/2022 15:34,33,-48,-237
24/02/2022 15:35,50,-70,-225
24/02/2022 15:35,50,-68,-226
24/02/2022 15:35,50,-67,-225
24/02/2022 15:35,53,-65,-228
24/02/2022 15:35,-200,-269,-128
24/02/2022 15:35,84,-244,-88
24/02/2022 15:35,17,-106,-157
24/02/2022 15:35,237,-398,13
24/02/2022 15:35,208,-223,-78
24/02/2022 15:35,-259,-364,-244
24/02/2022 15:35,-199,-122,-131
24/02/2022 15:35,103,-244,32
24/02/2022 15:35,11,-206,119
24/02/2022 15:35,114,-455,62
24/02/2022 15:35,71,-290,-30
24/02/2022 15:35,137,-169,-17
24/02/2022 15:35,173,-197,-13
24/02/2022 15:35,194,-224,-20
24/02/2022 15:35,210,-257,-42
24/02/2022 15:35,134,-237,-3
24/02/2022 15:35,267,-247,-43
24/02/2022 15:35,-336,-512,-252
24/02/2022 15:35,47,-84,-282
24/02/2022 15:35,-24,-87,-200
24/02/2022 15:35,19,-126,-204
24/02/2022 15:35,19,-145,-203
24/02/2022 15:35,0,-189,62
24/02/2022 15:35,54,-208,130
24/02/2022 15:36,-70,-302,12
24/02/2022 15:36,-42,-254,-14
24/02/2022 15:36,-33,-262,-14
24/02/2022 15:36,38,-257,17
24/02/2022 15:36,-34,-241,-85
28/02/2022 15:48,167,4,-196
28/02/2022 15:48,179,142,-215
28/02/2022 15:48,397,192,-512
28/02/2022 15:48,511,-512,-512
28/02/2022 15:48,23,-150,-19
28/02/2022 15:48,8,-34,-230
28/02/2022 15:48,-72,-41,-291
28/02/2022 15:48,-27,-204,-142
28/02/2022 15:48,-65,-38,-144
28/02/2022 15:48,64,-69,-157
28/02/2022 15:48,11,-193,-44
28/02/2022 15:48,-354,-439,-512
28/02/2022 15:48,-512,-512,-512
28/02/2022 15:48,37,-151,-46
