TIME,X,Y,Z
"('2022-03-28 14:13:31',)","(-51,)","(28,)","(-200,)"
"('2022-03-28 14:13:31',)","(-50,)","(26,)","(-198,)"
"('2022-03-28 14:13:30',)","(-49,)","(27,)","(-199,)"
"('2022-03-28 14:13:30',)","(-49,)","(27,)","(-201,)"
"('2022-03-28 14:13:30',)","(-50,)","(27,)","(-201,)"
"('2022-03-28 14:13:30',)","(-50,)","(30,)","(-201,)"
"('2022-03-28 14:13:29',)","(-50,)","(28,)","(-201,)"
"('2022-03-28 14:13:29',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:29',)","(-49,)","(27,)","(-200,)"
"('2022-03-28 14:13:29',)","(-49,)","(28,)","(-200,)"
"('2022-03-28 14:13:28',)","(-49,)","(27,)","(-200,)"
"('2022-03-28 14:13:28',)","(-49,)","(26,)","(-200,)"
"('2022-03-28 14:13:27',)","(-50,)","(27,)","(-201,)"
"('2022-03-28 14:13:27',)","(-49,)","(28,)","(-199,)"
"('2022-03-28 14:13:27',)","(-51,)","(28,)","(-200,)"
"('2022-03-28 14:13:27',)","(-50,)","(28,)","(-200,)"
"('2022-03-28 14:13:27',)","(-49,)","(28,)","(-200,)"
"('2022-03-28 14:13:27',)","(-49,)","(27,)","(-199,)"
"('2022-03-28 14:13:25',)","(-50,)","(27,)","(-200,)"
"('2022-03-28 14:13:25',)","(-50,)","(28,)","(-201,)"
"('2022-03-28 14:13:25',)","(-49,)","(27,)","(-200,)"
"('2022-03-28 14:13:25',)","(-50,)","(27,)","(-200,)"
"('2022-03-28 14:13:25',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:25',)","(-50,)","(27,)","(-201,)"
"('2022-03-28 14:13:25',)","(-50,)","(27,)","(-200,)"
"('2022-03-28 14:13:25',)","(-50,)","(28,)","(-200,)"
"('2022-03-28 14:13:25',)","(-49,)","(28,)","(-200,)"
"('2022-03-28 14:13:25',)","(-50,)","(28,)","(-200,)"
"('2022-03-28 14:13:24',)","(-51,)","(28,)","(-200,)"
"('2022-03-28 14:13:24',)","(-50,)","(27,)","(-201,)"
"('2022-03-28 14:13:24',)","(-50,)","(26,)","(-200,)"
"('2022-03-28 14:13:24',)","(-49,)","(26,)","(-201,)"
"('2022-03-28 14:13:24',)","(-49,)","(27,)","(-200,)"
"('2022-03-28 14:13:24',)","(-50,)","(25,)","(-199,)"
"('2022-03-28 14:13:24',)","(-50,)","(27,)","(-200,)"
"('2022-03-28 14:13:24',)","(-51,)","(28,)","(-200,)"
"('2022-03-28 14:13:23',)","(-51,)","(26,)","(-201,)"
"('2022-03-28 14:13:23',)","(-51,)","(26,)","(-200,)"
"('2022-03-28 14:13:22',)","(-50,)","(26,)","(-200,)"
"('2022-03-28 14:13:22',)","(-50,)","(26,)","(-200,)"
"('2022-03-28 14:13:22',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:22',)","(-50,)","(27,)","(-202,)"
"('2022-03-28 14:13:22',)","(-50,)","(28,)","(-201,)"
"('2022-03-28 14:13:22',)","(-50,)","(27,)","(-201,)"
"('2022-03-28 14:13:22',)","(-49,)","(27,)","(-201,)"
"('2022-03-28 14:13:22',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:22',)","(-51,)","(27,)","(-201,)"
"('2022-03-28 14:13:22',)","(-49,)","(26,)","(-199,)"
"('2022-03-28 14:13:22',)","(-51,)","(27,)","(-200,)"
"('2022-03-28 14:13:22',)","(-50,)","(27,)","(-199,)"
"('2022-03-28 14:13:22',)","(-51,)","(26,)","(-200,)"
"('2022-03-28 14:13:22',)","(-50,)","(26,)","(-200,)"
"('2022-03-28 14:13:20',)","(-50,)","(28,)","(-199,)"
"('2022-03-28 14:13:20',)","(-49,)","(25,)","(-201,)"
