TIME,X2,Y2,Z2
"('2022-03-28 14:13:31',)","('58',)","('52',)","('-235',)"
"('2022-03-28 14:13:31',)","('59',)","('50',)","('-235',)"
"('2022-03-28 14:13:30',)","('57',)","('54',)","('-236',)"
"('2022-03-28 14:13:30',)","('58',)","('54',)","('-235',)"
"('2022-03-28 14:13:30',)","('59',)","('53',)","('-234',)"
"('2022-03-28 14:13:30',)","('57',)","('52',)","('-235',)"
"('2022-03-28 14:13:29',)","('59',)","('52',)","('-236',)"
"('2022-03-28 14:13:29',)","('58',)","('52',)","('-235',)"
"('2022-03-28 14:13:29',)","('58',)","('51',)","('-235',)"
"('2022-03-28 14:13:29',)","('58',)","('51',)","('-235',)"
"('2022-03-28 14:13:28',)","('57',)","('52',)","('-235',)"
"('2022-03-28 14:13:28',)","('59',)","('51',)","('-235',)"
"('2022-03-28 14:13:27',)","('59',)","('52',)","('-235',)"
"('2022-03-28 14:13:27',)","('59',)","('51',)","('-235',)"
"('2022-03-28 14:13:27',)","('58',)","('50',)","('-235',)"
"('2022-03-28 14:13:27',)","('59',)","('50',)","('-236',)"
"('2022-03-28 14:13:27',)","('58',)","('52',)","('-236',)"
"('2022-03-28 14:13:27',)","('57',)","('51',)","('-236',)"
"('2022-03-28 14:13:25',)","('59',)","('51',)","('-236',)"
"('2022-03-28 14:13:25',)","('58',)","('51',)","('-236',)"
"('2022-03-28 14:13:25',)","('58',)","('51',)","('-237',)"
"('2022-03-28 14:13:25',)","('59',)","('51',)","('-235',)"
"('2022-03-28 14:13:25',)","('58',)","('53',)","('-236',)"
"('2022-03-28 14:13:25',)","('58',)","('54',)","('-236',)"
"('2022-03-28 14:13:25',)","('57',)","('52',)","('-235',)"
"('2022-03-28 14:13:25',)","('58',)","('51',)","('-236',)"
"('2022-03-28 14:13:25',)","('57',)","('52',)","('-236',)"
"('2022-03-28 14:13:25',)","('57',)","('54',)","('-236',)"
"('2022-03-28 14:13:24',)","('59',)","('52',)","('-235',)"
"('2022-03-28 14:13:24',)","('59',)","('52',)","('-235',)"
"('2022-03-28 14:13:24',)","('59',)","('51',)","('-236',)"
"('2022-03-28 14:13:24',)","('59',)","('51',)","('-234',)"
"('2022-03-28 14:13:24',)","('60',)","('51',)","('-234',)"
"('2022-03-28 14:13:24',)","('59',)","('51',)","('-234',)"
"('2022-03-28 14:13:24',)","('58',)","('50',)","('-236',)"
"('2022-03-28 14:13:24',)","('57',)","('51',)","('-234',)"
"('2022-03-28 14:13:23',)","('58',)","('51',)","('-237',)"
"('2022-03-28 14:13:23',)","('58',)","('51',)","('-237',)"
"('2022-03-28 14:13:22',)","('59',)","('50',)","('-235',)"
"('2022-03-28 14:13:22',)","('59',)","('52',)","('-237',)"
"('2022-03-28 14:13:22',)","('59',)","('52',)","('-236',)"
"('2022-03-28 14:13:22',)","('58',)","('52',)","('-235',)"
"('2022-03-28 14:13:22',)","('58',)","('52',)","('-236',)"
"('2022-03-28 14:13:22',)","('58',)","('50',)","('-236',)"
"('2022-03-28 14:13:22',)","('58',)","('49',)","('-235',)"
"('2022-03-28 14:13:22',)","('58',)","('49',)","('-237',)"
"('2022-03-28 14:13:22',)","('58',)","('49',)","('-236',)"
"('2022-03-28 14:13:22',)","('59',)","('51',)","('-236',)"
"('2022-03-28 14:13:22',)","('58',)","('52',)","('-235',)"
"('2022-03-28 14:13:22',)","('59',)","('52',)","('-235',)"
"('2022-03-28 14:13:22',)","('58',)","('52',)","('-237',)"
"('2022-03-28 14:13:22',)","('56',)","('52',)","('-236',)"
"('2022-03-28 14:13:20',)","('60',)","('52',)","('-235',)"
"('2022-03-28 14:13:20',)","('58',)","('52',)","('-234',)"
"('2022-03-28 14:13:20',)","('59',)","('50',)","('-235',)"
"('2022-03-28 14:13:20',)","('59',)","('52',)","('-235',)"
"('2022-03-28 14:13:20',)","('60',)","('50',)","('-236',)"
"('2022-03-28 14:13:20',)","('59',)","('49',)","('-237',)"
"('2022-03-28 14:13:20',)","('59',)","('48',)","('-235',)"
"('2022-03-28 14:13:18',)","('56',)","('54',)","('-236',)"
"('2022-03-28 14:13:18',)","('58',)","('51',)","('-238',)"
"('2022-03-28 14:13:18',)","('57',)","('52',)","('-238',)"
"('2022-03-28 14:13:18',)","('56',)","('52',)","('-238',)"
"('2022-03-28 14:13:18',)","('57',)","('52',)","('-237',)"
"('2022-03-28 14:13:16',)","('55',)","('54',)","('-237',)"
"('2022-03-28 14:13:16',)","('55',)","('52',)","('-240',)"
"('2022-03-28 14:13:16',)","('56',)","('51',)","('-236',)"
"('2022-03-28 14:13:16',)","('56',)","('51',)","('-237',)"
"('2022-03-28 14:13:16',)","('56',)","('53',)","('-233',)"
"('2022-03-28 14:13:16',)","('55',)","('56',)","('-234',)"
"('2022-03-28 14:13:15',)","('57',)","('54',)","('-234',)"
"('2022-03-28 14:13:15',)","('57',)","('53',)","('-236',)"
"('2022-03-28 14:13:15',)","('57',)","('54',)","('-235',)"
"('2022-03-28 14:13:14',)","('57',)","('54',)","('-236',)"
"('2022-03-28 14:13:14',)","('57',)","('54',)","('-235',)"
"('2022-03-28 14:13:14',)","('57',)","('53',)","('-237',)"
"('2022-03-28 14:13:14',)","('56',)","('53',)","('-237',)"
"('2022-03-28 14:13:14',)","('57',)","('52',)","('-236',)"
"('2022-03-28 14:13:14',)","('56',)","('53',)","('-235',)"
"('2022-03-28 14:13:14',)","('57',)","('53',)","('-235',)"
"('2022-03-28 14:13:14',)","('55',)","('53',)","('-235',)"
"('2022-03-28 14:13:14',)","('57',)","('54',)","('-235',)"
"('2022-03-28 14:13:14',)","('56',)","('53',)","('-235',)"
"('2022-03-28 14:13:14',)","('56',)","('53',)","('-237',)"
"('2022-03-28 14:13:12',)","('56',)","('53',)","('-234',)"
"('2022-03-28 14:13:12',)","('57',)","('53',)","('-236',)"
"('2022-03-28 14:13:12',)","('58',)","('53',)","('-236',)"
"('2022-03-28 14:13:12',)","('56',)","('54',)","('-236',)"
"('2022-03-28 14:13:12',)","('55',)","('54',)","('-234',)"
"('2022-03-28 14:13:12',)","('56',)","('53',)","('-235',)"
"('2022-03-28 14:13:12',)","('57',)","('53',)","('-236',)"
"('2022-03-28 14:13:12',)","('57',)","('54',)","('-235',)"
"('2022-03-28 14:13:09',)","('58',)","('53',)","('-235',)"
"('2022-03-28 14:13:09',)","('58',)","('52',)","('-236',)"
"('2022-03-28 14:13:09',)","('57',)","('54',)","('-236',)"
"('2022-03-28 14:13:09',)","('56',)","('54',)","('-236',)"
"('2022-03-28 14:13:09',)","('57',)","('53',)","('-236',)"
"('2022-03-28 14:13:09',)","('57',)","('52',)","('-235',)"
"('2022-03-28 14:13:09',)","('56',)","('53',)","('-235',)"
"('2022-03-28 14:13:09',)","('57',)","('53',)","('-235',)"
"('2022-03-28 14:13:09',)","('57',)","('54',)","('-236',)"
"('2022-03-28 14:13:08',)","('55',)","('54',)","('-236',)"
"('2022-03-28 14:13:08',)","('57',)","('53',)","('-234',)"
"('2022-03-28 14:13:08',)","('56',)","('53',)","('-235',)"
"('2022-03-28 14:13:08',)","('57',)","('53',)","('-234',)"
"('2022-03-28 14:13:07',)","('55',)","('54',)","('-239',)"
"('2022-03-28 14:13:06',)","('65',)","('46',)","('-234',)"
"('2022-03-28 14:13:06',)","('64',)","('46',)","('-236',)"
"('2022-03-28 14:13:06',)","('62',)","('46',)","('-235',)"
"('2022-03-28 14:13:06',)","('60',)","('47',)","('-234',)"
"('2022-03-28 14:13:06',)","('57',)","('48',)","('-234',)"
"('2022-03-28 14:13:06',)","('57',)","('50',)","('-235',)"
"('2022-03-28 14:13:05',)","('58',)","('52',)","('-234',)"
"('2022-03-28 14:13:05',)","('60',)","('51',)","('-236',)"
"('2022-03-28 14:13:05',)","('59',)","('52',)","('-233',)"
"('2022-03-28 14:13:04',)","('57',)","('52',)","('-235',)"
"('2022-03-28 14:13:04',)","('59',)","('52',)","('-236',)"
"('2022-03-28 14:13:03',)","('59',)","('51',)","('-235',)"
"('2022-03-28 14:13:03',)","('58',)","('54',)","('-236',)"
"('2022-03-28 14:13:03',)","('59',)","('54',)","('-235',)"
"('2022-03-28 14:13:03',)","('59',)","('53',)","('-236',)"
"('2022-03-28 14:13:03',)","('57',)","('53',)","('-233',)"
"('2022-03-28 14:13:02',)","('59',)","('50',)","('-234',)"
"('2022-03-28 14:13:02',)","('58',)","('51',)","('-234',)"
"('2022-03-28 14:13:02',)","('59',)","('51',)","('-235',)"
"('2022-03-28 14:13:01',)","('58',)","('55',)","('-236',)"
"('2022-03-28 14:13:01',)","('58',)","('54',)","('-236',)"
"('2022-03-28 14:13:01',)","('58',)","('55',)","('-237',)"
"('2022-03-28 14:13:01',)","('56',)","('55',)","('-236',)"
"('2022-03-28 14:13:01',)","('57',)","('55',)","('-236',)"
"('2022-03-28 14:12:59',)","('56',)","('55',)","('-234',)"
"('2022-03-28 14:12:59',)","('56',)","('57',)","('-234',)"
"('2022-03-28 14:12:59',)","('56',)","('57',)","('-234',)"
"('2022-03-28 14:12:59',)","('55',)","('55',)","('-235',)"
"('2022-03-28 14:12:59',)","('57',)","('56',)","('-234',)"
"('2022-03-28 14:12:57',)","('56',)","('55',)","('-237',)"
"('2022-03-28 14:12:56',)","('57',)","('51',)","('-235',)"
"('2022-03-28 14:12:55',)","('56',)","('57',)","('-235',)"
"('2022-03-28 14:12:55',)","('55',)","('57',)","('-236',)"
"('2022-03-28 14:12:55',)","('57',)","('57',)","('-235',)"
TIME,X2,Y2,Z2
"('2022-03-28 14:13:31',)","('58',)","('52',)","('-235',)"
"('2022-03-28 14:13:31',)","('59',)","('50',)","('-235',)"
"('2022-03-28 14:13:30',)","('57',)","('54',)","('-236',)"
"('2022-03-28 14:13:30',)","('58',)","('54',)","('-235',)"
"('2022-03-28 14:13:30',)","('59',)","('53',)","('-234',)"
"('2022-03-28 14:13:30',)","('57',)","('52',)","('-235',)"
"('2022-03-28 14:13:29',)","('59',)","('52',)","('-236',)"
"('2022-03-28 14:13:29',)","('58',)","('52',)","('-235',)"
"('2022-03-28 14:13:29',)","('58',)","('51',)","('-235',)"
"('2022-03-28 14:13:29',)","('58',)","('51',)","('-235',)"
"('2022-03-28 14:13:28',)","('57',)","('52',)","('-235',)"
"('2022-03-28 14:13:28',)","('59',)","('51',)","('-235',)"
"('2022-03-28 14:13:27',)","('59',)","('52',)","('-235',)"
"('2022-03-28 14:13:27',)","('59',)","('51',)","('-235',)"
"('2022-03-28 14:13:27',)","('58',)","('50',)","('-235',)"
"('2022-03-28 14:13:27',)","('59',)","('50',)","('-236',)"
"('2022-03-28 14:13:27',)","('58',)","('52',)","('-236',)"
"('2022-03-28 14:13:27',)","('57',)","('51',)","('-236',)"
"('2022-03-28 14:13:25',)","('59',)","('51',)","('-236',)"
"('2022-03-28 14:13:25',)","('58',)","('51',)","('-236',)"
"('2022-03-28 14:13:25',)","('58',)","('51',)","('-237',)"
"('2022-03-28 14:13:25',)","('59',)","('51',)","('-235',)"
"('2022-03-28 14:13:25',)","('58',)","('53',)","('-236',)"
"('2022-03-28 14:13:25',)","('58',)","('54',)","('-236',)"
"('2022-03-28 14:13:25',)","('57',)","('52',)","('-235',)"
"('2022-03-28 14:13:25',)","('58',)","('51',)","('-236',)"
"('2022-03-28 14:13:25',)","('57',)","('52',)","('-236',)"
"('2022-03-28 14:13:25',)","('57',)","('54',)","('-236',)"
"('2022-03-28 14:13:24',)","('59',)","('52',)","('-235',)"
"('2022-03-28 14:13:24',)","('59',)","('52',)","('-235',)"
"('2022-03-28 14:13:24',)","('59',)","('51',)","('-236',)"
"('2022-03-28 14:13:24',)","('59',)","('51',)","('-234',)"
"('2022-03-28 14:13:24',)","('60',)","('51',)","('-234',)"
"('2022-03-28 14:13:24',)","('59',)","('51',)","('-234',)"
"('2022-03-28 14:13:24',)","('58',)","('50',)","('-236',)"
"('2022-03-28 14:13:24',)","('57',)","('51',)","('-234',)"
"('2022-03-28 14:13:23',)","('58',)","('51',)","('-237',)"
"('2022-03-28 14:13:23',)","('58',)","('51',)","('-237',)"
"('2022-03-28 14:13:22',)","('59',)","('50',)","('-235',)"
"('2022-03-28 14:13:22',)","('59',)","('52',)","('-237',)"
"('2022-03-28 14:13:22',)","('59',)","('52',)","('-236',)"
"('2022-03-28 14:13:22',)","('58',)","('52',)","('-235',)"
"('2022-03-28 14:13:22',)","('58',)","('52',)","('-236',)"
"('2022-03-28 14:13:22',)","('58',)","('50',)","('-236',)"
"('2022-03-28 14:13:22',)","('58',)","('49',)","('-235',)"
"('2022-03-28 14:13:22',)","('58',)","('49',)","('-237',)"
"('2022-03-28 14:13:22',)","('58',)","('49',)","('-236',)"
"('2022-03-28 14:13:22',)","('59',)","('51',)","('-236',)"
"('2022-03-28 14:13:22',)","('58',)","('52',)","('-235',)"
"('2022-03-28 14:13:22',)","('59',)","('52',)","('-235',)"
"('2022-03-28 14:13:22',)","('58',)","('52',)","('-237',)"
"('2022-03-28 14:13:22',)","('56',)","('52',)","('-236',)"
"('2022-03-28 14:13:20',)","('60',)","('52',)","('-235',)"
"('2022-03-28 14:13:20',)","('58',)","('52',)","('-234',)"
"('2022-03-28 14:13:20',)","('59',)","('50',)","('-235',)"
"('2022-03-28 14:13:20',)","('59',)","('52',)","('-235',)"
"('2022-03-28 14:13:20',)","('60',)","('50',)","('-236',)"
"('2022-03-28 14:13:20',)","('59',)","('49',)","('-237',)"
"('2022-03-28 14:13:20',)","('59',)","('48',)","('-235',)"
"('2022-03-28 14:13:18',)","('56',)","('54',)","('-236',)"
"('2022-03-28 14:13:18',)","('58',)","('51',)","('-238',)"
"('2022-03-28 14:13:18',)","('57',)","('52',)","('-238',)"
"('2022-03-28 14:13:18',)","('56',)","('52',)","('-238',)"
"('2022-03-28 14:13:18',)","('57',)","('52',)","('-237',)"
"('2022-03-28 14:13:16',)","('55',)","('54',)","('-237',)"
"('2022-03-28 14:13:16',)","('55',)","('52',)","('-240',)"
"('2022-03-28 14:13:16',)","('56',)","('51',)","('-236',)"
"('2022-03-28 14:13:16',)","('56',)","('51',)","('-237',)"
"('2022-03-28 14:13:16',)","('56',)","('53',)","('-233',)"
"('2022-03-28 14:13:16',)","('55',)","('56',)","('-234',)"
"('2022-03-28 14:13:15',)","('57',)","('54',)","('-234',)"
"('2022-03-28 14:13:15',)","('57',)","('53',)","('-236',)"
"('2022-03-28 14:13:15',)","('57',)","('54',)","('-235',)"
"('2022-03-28 14:13:14',)","('57',)","('54',)","('-236',)"
"('2022-03-28 14:13:14',)","('57',)","('54',)","('-235',)"
"('2022-03-28 14:13:14',)","('57',)","('53',)","('-237',)"
"('2022-03-28 14:13:14',)","('56',)","('53',)","('-237',)"
"('2022-03-28 14:13:14',)","('57',)","('52',)","('-236',)"
"('2022-03-28 14:13:14',)","('56',)","('53',)","('-235',)"
"('2022-03-28 14:13:14',)","('57',)","('53',)","('-235',)"
"('2022-03-28 14:13:14',)","('55',)","('53',)","('-235',)"
"('2022-03-28 14:13:14',)","('57',)","('54',)","('-235',)"
"('2022-03-28 14:13:14',)","('56',)","('53',)","('-235',)"
"('2022-03-28 14:13:14',)","('56',)","('53',)","('-237',)"
"('2022-03-28 14:13:12',)","('56',)","('53',)","('-234',)"
"('2022-03-28 14:13:12',)","('57',)","('53',)","('-236',)"
"('2022-03-28 14:13:12',)","('58',)","('53',)","('-236',)"
"('2022-03-28 14:13:12',)","('56',)","('54',)","('-236',)"
"('2022-03-28 14:13:12',)","('55',)","('54',)","('-234',)"
